Index,Cluster,Sub-cluster,Label
3621.0,1,1_1,Negative_Exponential_Growth
3622.0,Cyclic,Cyclic_Down-Trend_Diverging,Oscillation
3623.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
3624.0,Growth&Decline,Growth&Decline_1,Growth&Decline
3625.0,Linear,Linear_1,Linear_Growth
3626.0,3,3_1,S-shape_Growth
3627.0,Cyclic,Cyclic_Down-Trend_Indeterminate,Oscillation
3628.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
3629.0,Linear,Linear_0,Linear_Growth
3630.0,Growth&Decline,Growth&Decline_1,Growth&Decline
3631.0,3,3_1,S-shape_Growth
3632.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
3633.0,Cyclic,Cyclic_Up-Trend_Stable,Oscillation
3634.0,Growth&Decline,Growth&Decline_1,Growth&Decline
3635.0,Linear,Linear_0,Linear_Growth
3636.0,2,2_0,Positive_Exponential_Growth
3637.0,Growth&Decline,Growth&Decline_1,Growth&Decline
3638.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
3639.0,Cyclic,Cyclic_Down-Trend_Diverging,Oscillation
3640.0,1,1_1,Negative_Exponential_Growth
3641.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
3642.0,Growth&Decline,Growth&Decline_0,Growth&Decline
3643.0,2,2_1,Positive_Exponential_Growth
3644.0,Growth&Decline,Growth&Decline_1,Growth&Decline
3645.0,Cyclic,Cyclic_Up-Trend_Dampening,Oscillation
3646.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
3647.0,Linear,Linear_1,Linear_Growth
3648.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
3649.0,Cyclic,Cyclic_Down-Trend_Diverging,Oscillation
3650.0,Linear,Linear_1,Linear_Growth
3651.0,Cyclic,Cyclic_Up-Trend_Diverging,Oscillation
3652.0,2,2_1,Positive_Exponential_Growth
3653.0,Linear,Linear_0,Linear_Growth
3654.0,Growth&Decline,Growth&Decline_0,Growth&Decline
3655.0,2,2_1,Positive_Exponential_Growth
3656.0,Cyclic,Cyclic_Down-Trend_Indeterminate,Oscillation
3657.0,Growth&Decline,Growth&Decline_0,Growth&Decline
3658.0,Growth&Decline,Growth&Decline_0,Growth&Decline
3659.0,Growth&Decline,Growth&Decline_1,Growth&Decline
3660.0,2,2_1,Positive_Exponential_Growth
3661.0,Cyclic,Cyclic_Down-Trend_Dampening,Oscillation
3662.0,Cyclic,Cyclic_Up-Trend_Stable,Oscillation
3663.0,2,2_0,S-shape_Growth
3664.0,Growth&Decline,Growth&Decline_0,Growth&Decline
3665.0,Growth&Decline,Growth&Decline_0,Growth&Decline
3666.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
3667.0,Linear,Linear_1,Linear_Growth
3668.0,Cyclic,Cyclic_Up-Trend_Indeterminate,Oscillation
3669.0,Cyclic,Cyclic_Up-Trend_Diverging,Oscillation
3670.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
3671.0,3,3_1,S-shape_Growth
3672.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
3673.0,3,3_0,S-shape_Growth
3674.0,Linear,Linear_0,Linear_Growth
3675.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
3676.0,Cyclic,Cyclic_Down-Trend_Dampening,Oscillation
3677.0,Cyclic,Cyclic_Up-Trend_Diverging,Oscillation
